,id,min,max,parameter_name,is_available,user_changeable,type,unit,list,comment,created_at,updated_at,update_user
106,117,,,puckid,True,True,text,,,,2024-03-21T17:36:04.919058+09:00,2024-03-21T17:36:57.513241+09:00,
107,118,,,pinid,True,True,integer,,,,2024-03-21T17:37:23.644062+09:00,2024-03-21T17:37:23.644097+09:00,
108,119,,,raster_vbeam,True,True,decimal,,,,2024-03-21T17:37:51.973952+09:00,2024-03-21T17:37:51.973988+09:00,
109,120,,,att_raster,True,True,decimal,,,,2024-03-21T17:38:07.531868+09:00,2024-03-21T17:38:07.531903+09:00,
110,121,,,hebi_att,True,True,decimal,,,,2024-03-21T17:38:16.947482+09:00,2024-03-21T17:38:16.947519+09:00,
111,122,,,exp_raster,True,True,decimal,,,,2024-03-21T17:38:31.262134+09:00,2024-03-21T17:38:31.262167+09:00,
112,123,,,dist_raster,True,True,decimal,,,,2024-03-21T17:38:38.609559+09:00,2024-03-21T17:38:38.609594+09:00,
113,124,,,loopsize,True,True,decimal,,,,2024-03-21T17:38:48.470057+09:00,2024-03-21T17:38:48.470093+09:00,
114,125,,,score_min,True,True,decimal,,,,2024-03-21T17:38:57.392441+09:00,2024-03-21T17:38:57.392477+09:00,
115,126,,,score_max,True,True,decimal,,,,2024-03-21T17:39:04.314789+09:00,2024-03-21T17:39:04.314822+09:00,
116,127,,,maxhits,True,True,integer,,,,2024-03-21T17:39:16.677460+09:00,2024-03-21T17:39:16.677495+09:00,
117,128,,,total_osc,True,True,decimal,,,,2024-03-21T17:39:32.173965+09:00,2024-03-21T17:39:32.174002+09:00,
118,129,,,osc_width,True,True,decimal,,,,2024-03-21T17:39:40.224958+09:00,2024-03-21T17:39:40.224992+09:00,
119,130,,,ds_vbeam,True,True,decimal,,,,2024-03-21T17:39:46.692064+09:00,2024-03-21T17:39:46.692100+09:00,
120,131,,,ds_hbeam,True,True,decimal,,,,2024-03-21T17:39:55.898467+09:00,2024-03-21T17:39:55.898503+09:00,
121,132,,,exp_ds,True,True,decimal,,,,2024-03-21T17:40:03.426125+09:00,2024-03-21T17:40:03.426162+09:00,
122,133,,,dist_ds,True,True,decimal,,,,2024-03-21T17:40:11.032212+09:00,2024-03-21T17:40:11.032249+09:00,
123,134,,,dose_ds,True,True,decimal,,,,2024-03-21T17:40:21.209635+09:00,2024-03-21T17:40:21.209669+09:00,
124,135,,,offset_angle,True,True,decimal,,,,2024-03-21T17:40:28.892403+09:00,2024-03-21T17:40:28.892439+09:00,
125,136,,,reduced_fact,True,True,decimal,,,,2024-03-21T17:40:37.895025+09:00,2024-03-21T17:40:37.895061+09:00,
126,137,,,ntimes,True,True,integer,,,,2024-03-21T17:40:50.217406+09:00,2024-03-21T17:40:50.217440+09:00,
127,138,,,meas_name,True,True,text,,,,2024-03-21T17:41:06.361157+09:00,2024-03-21T17:41:06.361190+09:00,
128,139,,,cry_min_size_um,True,True,decimal,,,,2024-03-21T17:41:19.114372+09:00,2024-03-21T17:41:19.114409+09:00,
129,140,,,cry_max_size_um,True,True,decimal,,,,2024-03-21T17:41:33.414048+09:00,2024-03-21T17:41:33.414082+09:00,
130,141,,,hel_full_osc,True,True,decimal,,,,2024-03-21T17:41:50.261952+09:00,2024-03-21T17:41:50.261991+09:00,
131,142,,,hel_part_osc,True,True,decimal,,,,2024-03-21T17:41:56.681556+09:00,2024-03-21T18:02:30.562851+09:00,
132,143,,,raster_roi,True,True,integer,,,,2024-03-21T17:42:10.209757+09:00,2024-03-21T17:42:10.209794+09:00,
133,144,,,ln2_flag,True,True,integer,,,,2024-03-21T17:42:20.199441+09:00,2024-03-21T17:42:20.199474+09:00,
134,145,,,cover_scan_flag,True,True,integer,,,,2024-03-21T17:42:28.129438+09:00,2024-03-21T17:42:28.129473+09:00,
135,146,,,zoomcap_flag,True,True,integer,,,,2024-03-21T17:42:40.288782+09:00,2024-03-21T17:42:40.288816+09:00,
136,147,,,warm_time,True,True,decimal,,,,2024-03-21T17:42:52.998166+09:00,2024-03-21T17:42:52.998200+09:00,
137,148,,,isSkip,True,True,integer,,,,2024-03-21T17:43:46.629236+09:00,2024-03-21T17:43:46.629273+09:00,
138,149,,,isMount,True,True,integer,,,,2024-03-21T17:44:01.974766+09:00,2024-03-21T17:44:01.974802+09:00,
139,150,,,isLoopCenter,True,True,integer,,,,2024-03-21T17:44:10.073639+09:00,2024-03-21T17:44:10.073672+09:00,
140,151,,,isRaster,True,True,integer,,,,2024-03-21T17:44:16.574410+09:00,2024-03-21T17:44:16.574448+09:00,
141,152,,,isDone,True,True,integer,,,,2024-03-21T17:44:25.130965+09:00,2024-03-21T17:44:25.131001+09:00,
142,153,,,scan_height,True,True,decimal,,,,2024-03-21T17:44:36.939663+09:00,2024-03-21T17:44:36.939697+09:00,
143,154,,,scan_width,True,True,decimal,,,,2024-03-21T17:44:45.255036+09:00,2024-03-21T17:44:45.255069+09:00,
144,155,,,n_mount,True,True,integer,,,,2024-03-21T17:44:57.664291+09:00,2024-03-21T17:44:57.664327+09:00,
