x y score
-0.025 -0.018 0.0
-0.035 -0.018 0.0
-0.045 -0.018 0.0
-0.055 -0.018 1.0
-0.065 -0.018 1.0
-0.075 -0.018 0.0
-0.085 -0.018 1.0
-0.095 -0.018 0.0
-0.105 -0.018 2.0
-0.115 -0.018 0.0
-0.125 -0.018 0.0
-0.135 -0.018 1.0
-0.145 -0.018 1.0
-0.155 -0.018 3.0
-0.165 -0.018 0.0
-0.175 -0.018 0.0
-0.185 -0.018 1.0
-0.195 -0.018 0.0
-0.205 -0.018 1.0
-0.215 -0.018 1.0
-0.225 -0.018 0.0
-0.235 -0.018 1.0
0.235 -0.036 6.0
0.225 -0.036 0.0
0.215 -0.036 0.0
0.205 -0.036 0.0
0.195 -0.036 0.0
0.185 -0.036 0.0
0.175 -0.036 0.0
0.165 -0.036 0.0
0.155 -0.036 0.0
0.145 -0.036 2.0
0.135 -0.036 1.0
0.125 -0.036 3.0
0.115 -0.036 1.0
0.105 -0.036 2.0
0.095 -0.036 2.0
0.085 -0.036 2.0
0.075 -0.036 0.0
0.065 -0.036 1.0
0.055 -0.036 1.0
0.045 -0.036 1.0
0.035 -0.036 1.0
0.025 -0.036 0.0
0.015 -0.036 1.0
0.005 -0.036 0.0
-0.005 -0.036 1.0
-0.015 -0.036 1.0
-0.025 -0.036 0.0
-0.035 -0.036 1.0
-0.045 -0.036 1.0
-0.055 -0.036 15.0
-0.065 -0.036 21.0
-0.075 -0.036 24.0
-0.085 -0.036 2.0
-0.095 -0.036 0.0
-0.105 -0.036 0.0
-0.115 -0.036 0.0
-0.125 -0.036 2.0
-0.135 -0.036 2.0
-0.145 -0.036 0.0
-0.155 -0.036 1.0
-0.165 -0.036 1.0
-0.175 -0.036 0.0
-0.185 -0.036 0.0
-0.195 -0.036 1.0
-0.205 -0.036 0.0
-0.215 -0.036 0.0
-0.225 -0.036 1.0
-0.235 -0.036 1.0
0.235 -0.054 0.0
0.225 -0.054 0.0
0.215 -0.054 3.0
0.205 -0.054 0.0
0.195 -0.054 1.0
0.185 -0.054 1.0
0.175 -0.054 0.0
0.165 -0.054 0.0
0.155 -0.054 1.0
0.145 -0.054 0.0
0.135 -0.054 0.0
0.125 -0.054 0.0
0.115 -0.054 3.0
0.105 -0.054 0.0
0.095 -0.054 0.0
0.085 -0.054 0.0
0.075 -0.054 0.0
0.065 -0.054 1.0
0.055 -0.054 1.0
0.045 -0.054 0.0
0.035 -0.054 1.0
0.025 -0.054 0.0
0.015 -0.054 3.0
0.005 -0.054 2.0
-0.005 -0.054 1.0
-0.015 -0.054 2.0
-0.025 -0.054 0.0
-0.035 -0.054 2.0
-0.045 -0.054 11.0
-0.055 -0.054 27.0
-0.065 -0.054 25.0
-0.075 -0.054 7.0
-0.085 -0.054 0.0
-0.095 -0.054 0.0
-0.105 -0.054 0.0
-0.115 -0.054 1.0
-0.125 -0.054 0.0
-0.135 -0.054 1.0
-0.145 -0.054 3.0
-0.155 -0.054 0.0
-0.165 -0.054 1.0
-0.175 -0.054 0.0
-0.185 -0.054 1.0
-0.195 -0.054 0.0
-0.205 -0.054 10.0
-0.215 -0.054 7.0
-0.225 -0.054 2.0
-0.235 -0.054 3.0
0.235 -0.072 1.0
0.225 -0.072 0.0
0.215 -0.072 5.0
0.205 -0.072 0.0
0.195 -0.072 0.0
0.185 -0.072 0.0
0.175 -0.072 0.0
0.165 -0.072 0.0
0.155 -0.072 0.0
0.145 -0.072 0.0
0.135 -0.072 2.0
0.125 -0.072 1.0
0.115 -0.072 0.0
0.105 -0.072 0.0
0.095 -0.072 2.0
0.085 -0.072 0.0
0.075 -0.072 1.0
0.065 -0.072 0.0
0.055 -0.072 0.0
0.045 -0.072 1.0
0.035 -0.072 3.0
0.025 -0.072 0.0
0.015 -0.072 2.0
0.005 -0.072 0.0
-0.005 -0.072 1.0
-0.015 -0.072 3.0
-0.025 -0.072 4.0
-0.035 -0.072 3.0
-0.045 -0.072 25.0
-0.055 -0.072 15.0
-0.065 -0.072 10.0
-0.075 -0.072 1.0
-0.085 -0.072 3.0
-0.095 -0.072 0.0
-0.105 -0.072 0.0
-0.115 -0.072 0.0
-0.125 -0.072 3.0
-0.135 -0.072 3.0
-0.145 -0.072 0.0
-0.155 -0.072 0.0
-0.165 -0.072 3.0
-0.175 -0.072 0.0
-0.185 -0.072 0.0
-0.195 -0.072 25.0
-0.205 -0.072 41.0
-0.215 -0.072 38.0
-0.225 -0.072 44.0
-0.235 -0.072 2.0
0.235 -0.09 0.0
0.225 -0.09 2.0
0.215 -0.09 0.0
0.205 -0.09 2.0
0.195 -0.09 0.0
0.185 -0.09 1.0
0.175 -0.09 0.0
0.165 -0.09 1.0
0.155 -0.09 0.0
0.145 -0.09 0.0
0.135 -0.09 0.0
0.125 -0.09 0.0
0.115 -0.09 1.0
0.105 -0.09 1.0
0.095 -0.09 0.0
0.085 -0.09 0.0
0.075 -0.09 0.0
0.065 -0.09 0.0
0.055 -0.09 1.0
0.045 -0.09 0.0
0.035 -0.09 0.0
0.025 -0.09 0.0
0.015 -0.09 0.0
0.005 -0.09 2.0
-0.005 -0.09 2.0
-0.015 -0.09 0.0
-0.025 -0.09 2.0
-0.035 -0.09 0.0
-0.045 -0.09 1.0
-0.055 -0.09 0.0
-0.065 -0.09 1.0
-0.075 -0.09 0.0
-0.085 -0.09 3.0
-0.095 -0.09 1.0
-0.105 -0.09 2.0
-0.115 -0.09 0.0
-0.125 -0.09 1.0
-0.135 -0.09 0.0
-0.145 -0.09 0.0
-0.155 -0.09 1.0
-0.165 -0.09 1.0
-0.175 -0.09 2.0
-0.185 -0.09 18.0
-0.195 -0.09 22.0
-0.205 -0.09 6.0
-0.215 -0.09 8.0
-0.225 -0.09 3.0
-0.235 -0.09 0.0
0.235 -0.108 0.0
0.225 -0.108 1.0
0.215 -0.108 1.0
0.205 -0.108 1.0
0.195 -0.108 1.0
0.185 -0.108 1.0
0.175 -0.108 0.0
0.165 -0.108 1.0
0.155 -0.108 1.0
0.145 -0.108 0.0
0.135 -0.108 0.0
0.125 -0.108 0.0
0.115 -0.108 1.0
0.105 -0.108 0.0
0.095 -0.108 0.0
0.085 -0.108 0.0
0.075 -0.108 0.0
0.065 -0.108 2.0
0.055 -0.108 0.0
0.045 -0.108 0.0
0.035 -0.108 1.0
0.025 -0.108 1.0
0.015 -0.108 1.0
0.005 -0.108 1.0
-0.005 -0.108 0.0
-0.015 -0.108 1.0
-0.025 -0.108 2.0
-0.035 -0.108 0.0
-0.045 -0.108 0.0
-0.055 -0.108 1.0
-0.065 -0.108 1.0
-0.075 -0.108 0.0
-0.085 -0.108 0.0
-0.095 -0.108 5.0
-0.105 -0.108 1.0
-0.115 -0.108 0.0
-0.125 -0.108 0.0
-0.135 -0.108 2.0
-0.145 -0.108 0.0
-0.155 -0.108 2.0
-0.165 -0.108 1.0
-0.175 -0.108 1.0
-0.185 -0.108 0.0
-0.195 -0.108 1.0
-0.205 -0.108 0.0
-0.215 -0.108 0.0
-0.225 -0.108 0.0
-0.235 -0.108 0.0
0.235 -0.126 0.0
0.225 -0.126 0.0
0.215 -0.126 2.0
0.205 -0.126 0.0
0.195 -0.126 2.0
0.185 -0.126 1.0
0.175 -0.126 3.0
0.165 -0.126 2.0
0.155 -0.126 0.0
0.145 -0.126 0.0
0.135 -0.126 1.0
0.125 -0.126 4.0
0.115 -0.126 0.0
0.105 -0.126 0.0
0.095 -0.126 0.0
0.085 -0.126 0.0
0.075 -0.126 1.0
0.065 -0.126 3.0
0.055 -0.126 0.0
0.045 -0.126 0.0
0.035 -0.126 0.0
0.025 -0.126 1.0
0.015 -0.126 1.0
0.005 -0.126 1.0
-0.005 -0.126 0.0
-0.015 -0.126 4.0
-0.025 -0.126 1.0
-0.035 -0.126 0.0
-0.045 -0.126 2.0
-0.055 -0.126 2.0
-0.065 -0.126 1.0
-0.075 -0.126 1.0
-0.085 -0.126 2.0
-0.095 -0.126 0.0
-0.105 -0.126 1.0
-0.115 -0.126 1.0
-0.125 -0.126 0.0
